"rank","word","pronunciation","pos","cn","en"
"403","wait","/weɪt/","verb","等待","to spend time until an expected thing happens"
"404","general","/ˈdʒɛn.ər.əl/","adj","一般的；普通的","widespread, normal or usual"
"405","appear","/əˈpɪər/","verb","出现","to be seen, become visible; come into sight"
"406","toward","/təˈwɔrd/","adv","朝着","facing or moving in the direction of something"
"407","team","/tim/","noun","团队","group of people working on a task together"
"408","easy","/ˈi.zi/","adj","容易的","not hard to do; not difficult"
"409","individual","/ˌɪn.dəˈvɪdʒ.u.əl/","noun","个人","single person, looked at separately from others"
"410","full","/fʊl/","adj","满的","containing or holding as much as possible"
"411","black","/blæk/","adj","黑色的","color of the sky on a dark night"
"412","sense","/sɛns/","verb","感觉到","to perceive using sight, sound, taste touch or hearing"
"413","perhaps","/pərˈhæps/","adv","也许；可能","possibly, but not certainly; maybe"
"414","add","/æd/","verb","添加；相加","to put two things or numbers together (e.g., 2+2)"
"415","rule","/rul/","noun","规则","statement that says how things should be"
"416","pass","/pæs/","verb","经过","to travel through or near a place"
"417","produce","/prəˈdus/","verb","生产","to manufacture something using machines"
"418","sell","/sɛl/","verb","卖","to exchange something for money"
"419","short","/ʃɔrt/","noun","短","small distance from one end to the other"
"420","agree","/əˈgri/","verb","同意","to have the same opinion as someone else"
"421","law","/lɔ/","noun","法律","system or rules made by the government"
"422","everything","/ˈɛv.riˌθɪŋ/","pron","所有事","all of the things mentioned"
"423","research","/rɪˈsɜrtʃ/","verb","研究","to carefully study to find and report new knowledge"
"424","cover","/ˈkʌv.ər/","noun","遮盖物","thing you put over something to close or hide it"
"425","paper","/ˈpeɪ.pər/","noun","纸","pages of a book are made from this"
"426","position","/pəˈzɪʃ.ən/","noun","位置","specific location where someone or something is"
"427","near","/nɪər/","adj","（距离）近的","with a small distance between things"
"428","human","/ˈhju.mən/","noun","人，人类","a person; a man, woman or child"
"429","computer","/kəmˈpju.tər/","noun","计算机","a machine for storing information and accessing the internet"
"430","situation","/ˌsɪtʃ.uˈeɪ.ʃən/","noun","情况；处境；位置","condition, location or position"
"431","staff","/stæf/","noun","职员","employees of a company"
"432","activity","/ækˈtɪv.ɪ.ti/","noun","活动","an action or task (e.g., sports, washing your clothes)"
"433","film","/fɪlm/","noun","电影","movie"
"434","morning","/ˈmɔr.nɪŋ/","noun","早晨","early part of the day before 12 noon"
"435","war","/wɔr/","noun","战争","situation where armies fight each other"
"436","account","/əˈkaʊnt/","noun","账户","arrangement with a bank to keep your money for you"
"437","shop","/ʃɑp/","noun","商店","place which sells things"
"438","major","/ˈmeɪ.dʒər/","adj","主要的；重要的","important, serious, or large in scope"
"439","someone","/ˈsʌmˌwʌn/","pron","某人","person who is not known or named"
"440","above","/əˈbʌv/","adv","在较高处","in a higher place than something else"
"441","design","/dɪˈzaɪn/","verb","设计","to plan in a particular way to fulfill a purpose"
"442","event","/ɪˈvɛnt/","noun","事件","something that happens"
"443","special","/ˈspɛʃ.əl/","adj","特别的；重要的","different from what is usual; better or greater than normal"
"444","sometimes","/ˈsʌmˌtaɪmz/","adv","有时；间或","only at certain times; occasionally"
"445","condition","/kənˈdɪ.ʃən/","noun","条件","state of living you are in (e.g., good health)"
"446","carry","/ˈkær.i/","verb","拿；搬运","to hold something and move it to another place"
"447","choose","/tʃuz/","verb","选择","to select; decide between several possibilities"
"448","father","/ˈfɑ.ðər/","noun","父亲","a male parent"
"449","decision","/dɪˈsɪʒ.ən/","noun","决定","a choice you make about something after thinking about it"
"450","table","/ˈteɪ.bəl/","noun","桌子","raised flat surface"
"451","certain","/ˈsɜr.tn/","adj","肯定的","being sure about something; without doubt"
"452","forward","/ˈfɔr.wərd/","adv","向前","toward what is ahead or in front"
"453","main","/meɪn/","adj","主要的；重要的","most important; most often used"
"454","die","/daɪ/","verb","死","to stop living"
"455","bear","/bɛər/","noun","熊","large brown animal with fur that lives in forests"
"456","cut","/kʌt/","verb","切；割","to use a knife or scissors to divide or open the surface"
"457","describe","/dɪˈskraɪb/","verb","描述","to tell someone the appearance, sound or smell of something"
"458","himself","/hɪmˈsɛlf/","pron","他自己","the same (male) person who did the action"
"459","available","/əˈveɪ.lə.bəl/","adj","有空的；可获得的","present and able to be used"
"460","especially","/ɪˈspɛʃ.ə.li/","adv","特别地;尤其","more than usual; extremely"
"461","strong","/strɔŋ/, /strɑŋ/","adj","强壮的;坚强的","having big muscles; physically powerful"
"462","rise","/raɪz/","verb","上升","to move from a lower position to a higher one"
"463","girl","/gɜrl/","noun","女孩","a female child"
"464","maybe","/ˈmeɪ.bi/","adv","可能","possibly but not certainly; perhaps"
"465","community","/kəˈmju.nɪ.ti/","noun","社区；团体","group of people who share a common idea or area"
"466","else","/ɛls/","adv","否则；不然","otherwise; if you fail to..."
"467","particular","/pərˈtɪk.jə.lər/","adj","特指的","one specific (one)"
"468","role","/roʊl/","noun","角色","character played by an actor"
"469","join","/dʒɔɪn/","verb","参加；结合","to bring something close to another, to become one"
"470","difficult","/ˈdɪf.ɪˌkʌlt/","adj","困难的","hard; not easy; you need to work hard to do it"
"471","please","/pliz/","adv","请","you say this when you politely ask people for things"
"472","detail","/dɪˈteɪl/","noun","细节","small part of something; tiny fact"
"473","difference","/ˈdɪf.ər.əns/","noun","不同；差异","not of the same kind; unlike other things"
"474","action","/ˈæk.ʃən/","noun","行动","something that a person or thing does"
"475","health","/hɛlθ/","noun","健康","being in a good condition; being well"
"476","eat","/it/","verb","吃","to put food in your mouth"
"477","step","/stɛp/","noun","脚步","flat horizontal piece that forms stairs"
"478","true","/tru/","adj","如实的；真正的；确实的","agreeing with the facts; not false; real or actual"
"479","phone","/foʊn/","verb","打电话","to talk to someone using a telephone"
"480","themselves","/ðəmˈsɛlvz/","pron","他们自己","reflexive form of they"
"481","draw","/drɔ/","verb","画画","to create an image using pen or pencil and paper"
"482","white","/waɪt/","adj","白色的","lightest color; the color of fresh snow and milk"
"483","date","/deɪt/","noun","日期","a day in the calendar such as January 3rd"
"484","practice","/ˈpræk.tɪs/","verb","练习","to do something many times to improve a skill"
"485","model","/ˈmɑd.l/","noun","模型；模范","a copy that represents an object or standard"
"486","raise","/reɪz/","verb","增加；提高","to increase a quantity, size, intensity or price"
"487","customer","/ˈkʌs.tə.mər/","noun","顾客","someone who buys goods or services from a business"
"488","front","/frʌnt/","adj","前面的；正面的","opposite of back; the forward part of an object"
"489","explain","/ɪkˈspleɪn/","verb","说明；解释","to make clear or easy to understand by describing"
"490","door","/dɔr/","noun","门","you walk through this when you go in a room"
"491","outside","/ˈaʊt.saɪd/","noun","外部","area around or near something, such as a building"
"492","behind","/bɪˈhaɪnd/","adv","在后面","in or toward the back"
"493","economic","/ˌɛk.əˈnɑm.ɪk/","adj","经济的","having to do with trade, industry, and money"
"494","site","/saɪt/","noun","地点；位置","present, former, or future location of something, such as a building"
"495","approach","/əˈproʊtʃ/","verb","接近","to get close to reaching something or somewhere"
"496","teacher","/ˈti.tʃər/","noun","老师；教师","person who teaches others, especially in a school"
"497","land","/lænd/","noun","土地;地面","the earth; the ground"
"498","charge","/tʃɑrdʒ/","verb","收费","to ask for money as a price for a service or goods"
"499","finally","/ˈfaɪ.nə.li/","adv","最后","after a long time or some difficulty"
"500","sign","/saɪn/","noun","签名","something such as a mark or event that shows that something exists, is true, is happening or will happen"
"501","claim","/kleɪm/","verb","声称","to say something is true when others may not agree"
"502","relationship","/rɪˈleɪ.ʃənˌʃɪp/","noun","关系","manner in which people, groups or countries behave toward one another"
"503","travel","/ˈtræv.əl/","verb","旅行","to go to a place that is far away"
"504","enjoy","/ɛnˈdʒɔɪ/","verb","享受","to take pleasure in something"
"505","death","/dɛθ/","noun","死亡","when someone dies; the end of life"
"506","nice","/naɪs/","adj","美好的","good or enjoyable"
